Date,State,totalRegistered,Pop
11/4/2020,Alabama,3708804,4908620
11/3/2020,Alaska,597319,734002
11/4/2020,Arizona,4281152,7378490
6/3/2020,Arkansas,1755775,3039000
10/19/2020,California,22047448,39937500
11/1/2020,Colorado,4238513,5845530
10/29/2019,Connecticut,2375537,3563080
11/1/2020,Delaware,738563,982895
8/31/2020,Florida,14065627,21993000
11/1/2020,Georgia,7233584,10736100
10/29/2020,Hawaii,830000,1412690
11/2/2020,Idaho,1010984,1826160
3/17/2020,Illinois,8036534,12659700
6/2/2020,Indiana,4585024,6745350
11/2/2020,Iowa,2245096,3179850
7/1/2020,Kansas,1851397,2910360
10/10/2020,Kentucky,3565428,4499690
11/1/2020,Louisiana,3091340,4645180
8/3/2020,Maine,1063383,1345790
10/13/2020,Maryland,4141498,6083120
10/24/2020,Massachusetts,4812909,6976600
11/3/2020,Michigan,8127040,10045000
11/2/2020,Minnesota,3588563,5700670
11/3/2020,Mississippi,1985928,2989260
11/1/2018,Missouri,4213092,6169270
3/1/2020,Montana,696292,1086760
10/1/2020,Nebraska,1252089,1952570
11/2/2020,Nevada,1821356,3139660
10/21/2020,New Hampshire,998537,1371250
11/2/2020,New Jersey,6486299,8936570
10/30/2020,New Mexico,1350181,2096640
11/1/2020,New York,13555547,19440500
11/3/2020,North Carolina,7361219,10611900
3/1/2020,North Dakota,581379,761723
3/17/2020,Ohio,7774767,11747700
11/1/2020,Oklahoma,2259113,3954820
10/7/2020,Oregon,2924292,4301090
11/2/2020,Pennsylvania,9091371,12820900
11/3/2020,Rhode Island,809821,1056160
11/3/2020,South Carolina,3513225,5210100
11/3/2020,South Dakota,578666,903027
6/1/2020,Tennessee,3931248,6897580
3/1/2020,Texas,16211198,29472300
11/3/2020,Utah,1857861,3282120
9/1/2020,Vermont,495267,628061
11/1/2020,Virginia,5975696,8626210
10/27/2020,Washington,4861482,7797100
10/13/2020,West Virginia,1268460,1778070
11/1/2020,Wisconsin,3684726,5851750
11/3/2020,Wyoming,268837,567025
