Model,Location,Year,Km,FuelType,Transmission,Owner,Efficiency,Engine_cc,Power_bhp,Seats,Price_US_Dollars
Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Gasoline,Manual,First,24.70,800,47.30,5,"$5,054 "
Maruti Wagon R ZXI AMT 1.2,Mumbai,2019,600,Gasoline,Automatic,First,21.50,1200,81.80,5,"$8,774 "
Renault KWID RXL,Pune,2018,"1,000",Gasoline,Manual,First,25.17,800,53.30,5,"$4,773 "
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,"1,000",Gasoline,Manual,First,18.78,1000,75.00,5,"$7,974 "
Maruti Ignis 1.2 Alpha,Mumbai,2017,"1,000",Gasoline,Manual,First,20.89,1200,81.80,5,"$8,929 "
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,"1,000",Gasoline,Manual,First,18.90,1200,81.86,5,"$9,125 "
Ford Figo 2015-2019 1.2P Sports Edition MT,Mumbai,2019,"1,000",Gasoline,Manual,First,18.12,1200,86.80,5,"$9,547 "
Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,"1,000",Gasoline,Automatic,First,20.30,1200,84.00,5,"$9,617 "
Tata Xenon XT EX 4X2,Jaipur,2017,"1,000",Diesel,Manual,First,13.49,2200,138.03,5,"$10,529 "
Hyundai i20 Active SX Dual Tone Petrol,Pune,2019,"1,000",Gasoline,Manual,First,17.19,1200,81.86,5,"$12,074 "
Jaguar XE 2.0L Diesel Prestige,Delhi,2018,"1,000",Diesel,Automatic,First,13.60,2000,177.00,5,"$56,156 "
Ford Freestyle Titanium Plus Petrol,Jaipur,2018,"1,001",Gasoline,Manual,First,19.00,1200,94.68,5,"$10,150 "
Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,"1,001",Diesel,Manual,First,25.83,1400,99.00,5,"$10,599 "
Renault Captur 1.5 Diesel Platine Mono,Mumbai,2018,"1,011",Diesel,Manual,First,20.37,1400,108.45,5,"$18,953 "
Maruti Wagon R VXI BS IV,Hyderabad,2018,"1,048",Gasoline,Manual,First,18.90,1000,67.10,5,"$6,598 "
Ford Freestyle Titanium Petrol,Mumbai,2007,"1,261",Gasoline,Manual,First,19.00,1200,94.68,5,"$8,423 "
Toyota Corolla Altis VL AT,Bangalore,2018,"1,331",Gasoline,Automatic,First,14.28,1800,138.03,5,"$28,078 "
BMW X3 xDrive 20d Luxury Line,Mumbai,2018,"1,400",Diesel,Automatic,First,18.56,2000,190.00,5,"$85,989 "
Renault KWID RXT Optional,Mumbai,2018,"1,617",Gasoline,Manual,First,25.17,800,53.30,5,"$6,023 "
Honda Amaze V CVT Petrol,Pune,2018,"1,700",Gasoline,Automatic,First,19.00,1200,88.76,5,"$10,950 "
Hyundai Grand i10 Sportz,Kolkata,2018,"1,800",Gasoline,Manual,First,18.90,1200,82.00,5,"$7,160 "
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,2017,"1,800",Gasoline,Automatic,First,16.05,1400,110.40,5,"$15,962 "
Renault KWID RXT Optional,Hyderabad,2018,"1,900",Gasoline,Manual,First,25.17,800,53.30,5,"$6,247 "
Maruti Wagon R VXI AMT,Mumbai,2018,"1,997",Gasoline,Automatic,First,22.50,1000,67.00,5,"$6,247 "
Tata Tiago AMT 1.2 Revotron XZA,Pune,2018,"2,000",Gasoline,Automatic,First,23.84,1200,83.83,5,"$7,020 "
Maruti Swift ZXI Plus,Ahmedabad,2018,"2,000",Gasoline,Manual,First,22.00,1200,81.80,5,"$10,880 "
Maruti Swift DDiS ZDI Plus,Hyderabad,2017,"2,000",Diesel,Manual,First,28.40,1200,74.00,5,"$11,512 "
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,"2,000",Gasoline,Manual,First,18.88,1400,110.40,5,"$12,144 "
Maruti Baleno Alpha Diesel,Mumbai,2018,"2,000",Diesel,Manual,First,27.39,1200,74.00,5,"$12,214 "
Mini Cooper 5 DOOR D,Hyderabad,2017,"2,000",Diesel,Automatic,First,20.70,1400,113.98,5,"$47,733 "
Maruti Alto K10 VXI,Kolkata,2018,"2,100",Gasoline,Manual,First,24.07,1000,67.10,5,"$5,054 "
Maruti Alto 800 LXI,Kolkata,2017,"2,196",Gasoline,Manual,First,22.74,800,47.30,5,"$3,861 "
Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,"2,200",Gasoline,Manual,First,15.70,1400,75.00,5,"$3,229 "
Mahindra Thar DI 4X4,Mumbai,2018,"2,500",Diesel,Manual,First,18.06,2400,63.00,7,"$11,582 "
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2018,"2,500",Gasoline,Manual,First,15.29,1600,121.30,5,"$17,900 "
Mercedes-Benz SLC 43 AMG,Coimbatore,2019,"2,526",Gasoline,Automatic,First,19.00,3000,362.07,2,"$117,872 "
Maruti Alto 800 2016-2019 VXI,Hyderabad,2017,"2,530",Gasoline,Manual,First,24.70,800,47.30,5,"$4,633 "
Ford Aspire Titanium Plus Diesel,Kolkata,2015,"2,800",Diesel,Manual,First,26.10,1400,99.00,5,"$11,807 "
Maruti Vitara Brezza ZDi,Kolkata,2018,"2,900",Diesel,Manual,First,24.30,1200,88.50,5,"$12,284 "
Mini Cooper S Carbon Edition,Kolkata,2018,"2,971",Gasoline,Automatic,First,13.60,1600,181.00,4,"$55,805 "
Maruti Alto 800 2016-2019 LXI Optional,Jaipur,2019,"3,000",Gasoline,Manual,First,24.70,800,47.30,5,"$4,914 "
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,"3,000",Gasoline,Automatic,First,18.90,1200,81.86,5,"$8,704 "
Toyota Etios 1.4 VXD,Pune,2018,"3,000",Diesel,Manual,First,23.59,1400,67.04,5,"$11,091 "
Honda Jazz Exclusive CVT,Mumbai,2018,"3,000",Gasoline,Automatic,First,19.00,1200,88.70,5,"$11,582 "
Maruti Baleno Alpha CVT,Mumbai,2018,"3,000",Gasoline,Automatic,First,21.40,1200,83.10,5,"$12,425 "
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,"3,000",Diesel,Automatic,First,24.30,1200,88.50,5,"$15,794 "
Jaguar XF 2.2 Litre Luxury,Mumbai,2018,"3,000",Diesel,Automatic,First,16.36,2200,187.70,5,"$73,705 "
Mercedes-Benz SLK-Class 55 AMG,Bangalore,2014,"3,000",Gasoline,Automatic,Second,12.00,5000,421.00,2,"$126,351 "
Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,"3,102",Diesel,Manual,First,20.37,1400,108.45,5,"$19,669 "
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,"3,300",Diesel,Automatic,First,24.30,1200,88.50,5,"$16,145 "
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,2017,"3,600",Diesel,Automatic,First,21.50,1400,108.50,5,"$17,198 "
